RefSeq	Chr	Strand	Start	End	Symbol
AC152495.1_FGT003	10	-	3299974	3307226	AC152495.1_FG003
AC152495.1_FGT010	10	-	3372153	3376038	AC152495.1_FG010
AC152495.1_FGT011	10	+	3377384	3378752	AC152495.1_FG011
AC152495.1_FGT012	10	-	3385711	3388278	AC152495.1_FG012
AC152495.1_FGT013	10	+	3396643	3399693	AC152495.1_FG013
AC152495.1_FGT015	10	-	3404104	3405367	AC152495.1_FG015
AC152495.1_FGT017	10	-	3441444	3444666	AC152495.1_FG017
AC155352.2_FGT001	2	-	35349359	35352190	AC155352.2_FG001
AC155352.2_FGT010	2	+	35369189	35370027	AC155352.2_FG010
AC155376.2_FGT002	8	+	163644028	163644814	AC155376.2_FG002
AC155376.2_FGT004	8	+	163685359	163687718	AC155376.2_FG004
AC155376.2_FGT005	8	-	163719700	163727524	AC155376.2_FG005
AC155377.1_FGT001	3	-	220967144	220986200	AC155377.1_FG001
AC155377.1_FGT002	3	-	221063735	221069432	AC155377.1_FG002
AC155390.2_FGT002	1	-	32672149	32674147	AC155390.2_FG002
AC155434.2_FGT001	7	+	173932040	173933487	AC155434.2_FG001
AC155434.2_FGT003	7	+	173926856	173929260	AC155434.2_FG003
AC155434.2_FGT004	7	-	173870269	173881429	AC155434.2_FG004
AC155434.2_FGT005	7	-	173860840	173863018	AC155434.2_FG005
AC155434.2_FGT006	7	-	173848307	173849744	AC155434.2_FG006
AC155496.2_FGT009	5	-	4777613	4787374	AC155496.2_FG009
AC155610.2_FGT007	3	+	175729265	175732123	AC155610.2_FG007
AC155610.2_FGT009	3	+	175744276	175744480	AC155610.2_FG009
AC155622.2_FGT001	3	-	4444109	4445303	AC155622.2_FG001
AC155622.2_FGT004	3	-	4447448	4448851	AC155622.2_FG004
AC155624.2_FGT006	1	+	8260040	8264449	AC155624.2_FG006
AC155624.2_FGT011	1	-	8285568	8288645	AC155624.2_FG011
AC159612.1_FGT007	5	+	4583376	4584977	AC159612.1_FG007
AC165171.2_FGT002	3	+	144777898	144779302	AC165171.2_FG002
AC165178.2_FGT004	2	-	182073110	182074488	AC165178.2_FG004
AC166636.1_FGT007	1	-	19971518	19972363	AC166636.1_FG007
AC166636.1_FGT008	1	+	19979838	19982658	AC166636.1_FG008
AC166636.1_FGT009	1	-	19983968	19990325	AC166636.1_FG009
AC177831.3_FGT004	2	-	49745575	49748553	AC177831.3_FG004
AC177833.2_FGT001	2	-	110693458	110697319	AC177833.2_FG001
AC177837.3_FGT002	1	+	22597528	22598407	AC177837.3_FG002
AC177838.2_FGT015	1	+	161142	161925	AC177838.2_FG015
AC177844.2_FGT003	2	-	68539054	68539363	AC177844.2_FG003
AC177850.2_FGT003	1	+	18141394	18143414	AC177850.2_FG003
AC177850.2_FGT005	1	+	18198892	18199402	AC177850.2_FG005
AC177860.4_FGT002	2	+	173898723	173900919	AC177860.4_FG002
AC177890.3_FGT005	1	+	282753810	282754305	AC177890.3_FG005
AC177893.3_FGT003	2	-	211669849	211670473	AC177893.3_FG003
AC177893.3_FGT006	2	-	211663585	211664281	AC177893.3_FG006
AC177897.2_FGT002	1	+	260195857	260198235	AC177897.2_FG002
AC177897.2_FGT022	1	+	260112285	260114256	AC177897.2_FG022
AC177897.2_FGT029	1	+	260089088	260089649	AC177897.2_FG029
AC177899.2_FGT009	1	+	300523676	300525797	AC177899.2_FG009
AC177899.2_FGT012	1	+	300424022	300426501	AC177899.2_FG012
AC177900.4_FGT001	1	+	91096808	91097171	AC177900.4_FG001
AC177905.2_FGT001	1	-	115712930	115713141	AC177905.2_FG001
AC177905.2_FGT003	1	+	115624175	115624688	AC177905.2_FG003
AC177908.3_FGT002	1	-	72808428	72813891	AC177908.3_FG002
AC177908.3_FGT003	1	+	72698779	72699511	AC177908.3_FG003
AC177908.3_FGT006	1	-	72747837	72748728	AC177908.3_FG006
AC177911.4_FGT005	1	-	16789304	16789868	AC177911.4_FG005
AC177920.3_FGT008	2	+	52888796	52890717	AC177920.3_FG008
AC177922.2_FGT002	3	-	74807795	74808416	AC177922.2_FG002
AC177924.2_FGT001	2	-	71347458	71352265	AC177924.2_FG001
AC177924.2_FGT003	2	+	71370497	71370833	AC177924.2_FG003
AC177926.2_FGT003	1	+	295676620	295677277	AC177926.2_FG003
AC177930.2_FGT001	2	-	109099264	109099786	AC177930.2_FG001
AC177930.2_FGT002	2	-	109089830	109090262	AC177930.2_FG002
AC177936.6_FGT008	1	+	285718505	285719644	AC177936.6_FG008
AC177941.3_FGT001	1	+	35964651	35967135	AC177941.3_FG001
AC177941.3_FGT006	1	+	35852657	35853471	AC177941.3_FG006
AC177946.2_FGT004	1	+	19103504	19103981	AC177946.2_FG004
AC177947.2_FGT003	1	-	33360058	33360670	AC177947.2_FG003
AC182105.3_FGT006	4	-	85731239	85732972	AC182105.3_FG006
AC182413.4_FGT002	5	-	4211385	4214806	AC182413.4_FG002
AC182439.4_FGT004	3	-	46895108	46895588	AC182439.4_FG004
AC182482.3_FGT003	3	+	23016605	23020055	AC182482.3_FG003
AC182615.4_FGT001	3	-	22054234	22055095	AC182615.4_FG001
AC182617.3_FGT001	3	-	127323461	127329589	AC182617.3_FG001
AC182627.2_FGT003	3	-	58308793	58309243	AC182627.2_FG003
AC182831.3_FGT004	3	+	194231832	194232420	AC182831.3_FG004
AC182838.3_FGT006	3	-	190568352	190568724	AC182838.3_FG006
AC183315.4_FGT006	3	+	28222059	28223788	AC183315.4_FG006
AC183319.3_FGT001	3	+	37159449	37160239	AC183319.3_FG001
AC183372.4_FGT006	3	-	141361115	141361928	AC183372.4_FG006
AC183412.5_FGT005	2	+	27476139	27479731	AC183412.5_FG005
AC183413.3_FGT006	5	-	112078490	112084663	AC183413.3_FG006
AC183509.1_FGT001	3	+	135593194	135594224	AC183509.1_FG001
AC183514.3_FGT006	3	-	168470836	168474061	AC183514.3_FG006
AC183817.2_FGT002	5	+	86372740	86376385	AC183817.2_FG002
AC183888.4_FGT006	4	-	240785908	240789797	AC183888.4_FG006
AC183888.4_FGT008	4	+	240776870	240778496	AC183888.4_FG008
AC183914.3_FGT004	4	-	178682041	178682539	AC183914.3_FG004
AC183915.4_FGT001	3	-	55960708	55964178	AC183915.4_FG001
AC183927.3_FGT004	3	+	64564657	64565682	AC183927.3_FG004
AC183928.4_FGT001	7	+	109607	111503	AC183928.4_FG001
AC183932.3_FGT007	5	+	5582013	5584778	AC183932.3_FG007
AC183938.4_FGT011	10	-	142266289	142269387	AC183938.4_FG011
AC183944.4_FGT003	9	-	81892913	81895463	AC183944.4_FG003
AC183950.2_FGT002	8	+	162728947	162729364	AC183950.2_FG002
AC183950.2_FGT003	8	+	162729831	162732268	AC183950.2_FG003
AC183950.2_FGT004	8	+	162763800	162766540	AC183950.2_FG004
AC183950.2_FGT005	8	-	162767678	162769145	AC183950.2_FG005
AC183968.2_FGT001	4	+	241958863	241961162	AC183968.2_FG001
AC184112.4_FGT010	3	-	155709275	155710095	AC184112.4_FG010
AC184116.3_FGT001	7	+	60271978	60272662	AC184116.3_FG001
AC184127.3_FGT003	5	+	179839818	179840313	AC184127.3_FG003
AC184130.4_FGT005	4	-	235835571	235836465	AC184130.4_FG005
AC184130.4_FGT012	4	-	235766705	235769787	AC184130.4_FG012
AC184133.3_FGT001	9	+	73617173	73619221	AC184133.3_FG001
AC184164.2_FGT004	3	+	209391023	209391790	AC184164.2_FG004
AC184164.2_FGT006	3	-	209412921	209413320	AC184164.2_FG006
AC184169.3_FGT001	4	+	26820782	26821926	AC184169.3_FG001
AC184170.4_FGT002	3	-	133684028	133684676	AC184170.4_FG002
AC184171.4_FGT002	4	+	206488586	206489243	AC184171.4_FG002
AC184172.3_FGT001	4	+	158434777	158435617	AC184172.3_FG001
AC184699.3_FGT005	3	+	220770504	220772806	AC184699.3_FG005
AC184764.3_FGT003	4	+	212839636	212840488	AC184764.3_FG003
AC184764.3_FGT006	4	-	212748042	212749094	AC184764.3_FG006
AC184765.4_FGT005	3	+	213541770	213542890	AC184765.4_FG005
AC184771.4_FGT003	4	+	60542051	60542885	AC184771.4_FG003
AC184775.2_FGT002	3	+	148840799	148842242	AC184775.2_FG002
AC184788.2_FGT001	5	-	153024028	153024767	AC184788.2_FG001
AC184789.4_FGT002	5	+	128748949	128753292	AC184789.4_FG002
AC184794.2_FGT003	4	+	86469185	86470912	AC184794.2_FG003
AC184831.3_FGT003	4	+	239018913	239019798	AC184831.3_FG003
AC184831.3_FGT005	4	-	239028638	239029484	AC184831.3_FG005
AC184831.3_FGT008	4	-	239100690	239101536	AC184831.3_FG008
AC184836.3_FGT002	4	+	80114145	80114910	AC184836.3_FG002
AC184857.2_FGT006	5	-	15408973	15409702	AC184857.2_FG006
AC184871.2_FGT009	1	+	273740133	273741620	AC184871.2_FG009
AC185108.3_FGT006	7	+	162223698	162224085	AC185108.3_FG006
AC185108.3_FGT010	7	-	162348606	162349464	AC185108.3_FG010
AC185108.3_FGT011	7	+	162352706	162353303	AC185108.3_FG011
AC185122.3_FGT009	4	+	19489568	19490249	AC185122.3_FG009
AC185126.3_FGT006	4	+	188230323	188230827	AC185126.3_FG006
AC185130.2_FGT004	5	-	76123794	76128759	AC185130.2_FG004
AC185130.2_FGT005	5	-	76104999	76107879	AC185130.2_FG005
AC185217.3_FGT004	4	+	190433230	190434395	AC185217.3_FG004
AC185217.3_FGT007	4	+	190445704	190446841	AC185217.3_FG007
AC185226.4_FGT001	4	-	162608156	162617862	AC185226.4_FG001
AC185252.4_FGT002	3	-	113360843	113361507	AC185252.4_FG002
AC185254.4_FGT002	4	+	74338759	74339617	AC185254.4_FG002
AC185256.3_FGT002	5	-	114521080	114522111	AC185256.3_FG002
AC185256.3_FGT003	5	+	114625872	114632693	AC185256.3_FG003
AC185261.4_FGT002	5	-	60236030	60236495	AC185261.4_FG002
AC185265.3_FGT003	5	+	116033976	116036206	AC185265.3_FG003
AC185276.2_FGT004	3	+	228670486	228671113	AC185276.2_FG004
AC185276.2_FGT006	3	+	228582712	228584640	AC185276.2_FG006
AC185281.5_FGT006	5	+	90854465	90856162	AC185281.5_FG006
AC185300.4_FGT002	4	-	228549374	228550451	AC185300.4_FG002
AC185305.3_FGT003	4	-	52486720	52486960	AC185305.3_FG003
AC185415.3_FGT005	2	-	198337077	198340527	AC185415.3_FG005
AC185422.3_FGT005	4	+	149185260	149186585	AC185422.3_FG005
AC185427.5_FGT004	5	-	139148818	139149298	AC185427.5_FG004
AC185443.3_FGT004	4	-	221857161	221860217	AC185443.3_FG004
AC185460.3_FGT004	5	+	183696095	183697025	AC185460.3_FG004
AC185466.3_FGT001	4	+	181701813	181703196	AC185466.3_FG001
AC185471.3_FGT005	4	+	166944654	166951631	AC185471.3_FG005
AC185473.3_FGT005	4	-	156809809	156810151	AC185473.3_FG005
AC185475.3_FGT001	4	+	168886962	168888701	AC185475.3_FG001
AC185478.4_FGT005	4	-	181432209	181432974	AC185478.4_FG005
AC185478.4_FGT007	4	+	181551193	181551688	AC185478.4_FG007
AC185487.4_FGT001	5	+	195656053	195656458	AC185487.4_FG001
AC185500.3_FGT001	3	-	180952906	180953805	AC185500.3_FG001
AC185501.3_FGT001	4	+	177371684	177372194	AC185501.3_FG001
AC185501.3_FGT006	4	+	177399585	177400438	AC185501.3_FG006
AC185504.4_FGT002	4	-	164026950	164027505	AC185504.4_FG002
AC185522.2_FGT002	4	-	115485803	115486253	AC185522.2_FG002
AC185530.2_FGT004	4	-	120681570	120683126	AC185530.2_FG004
AC185586.4_FGT003	4	-	80946868	80947234	AC185586.4_FG003
AC185587.3_FGT003	1	-	203132948	203134532	AC185587.3_FG003
AC185588.2_FGT002	1	-	297260789	297265049	AC185588.2_FG002
AC185593.3_FGT003	1	-	85784828	85785212	AC185593.3_FG003
AC185605.3_FGT003	5	-	44442095	44442548	AC185605.3_FG003
AC185610.3_FGT001	1	-	251564403	251564739	AC185610.3_FG001
AC185611.3_FGT001	1	+	206839157	206839481	AC185611.3_FG001
AC185623.4_FGT010	4	-	157655016	157655277	AC185623.4_FG010
AC185623.4_FGT012	4	-	157673009	157674564	AC185623.4_FG012
AC185628.3_FGT010	5	+	7215086	7217178	AC185628.3_FG010
AC185642.4_FGT001	4	+	164761947	164762274	AC185642.4_FG001
AC185648.3_FGT007	4	+	174569686	174572276	AC185648.3_FG007
AC185649.2_FGT003	4	-	164534442	164534781	AC185649.2_FG003
AC185655.3_FGT004	2	-	39920165	39921584	AC185655.3_FG004
AC185655.3_FGT005	2	-	39942982	39944500	AC185655.3_FG005
AC185656.3_FGT002	5	+	65741232	65741610	AC185656.3_FG002
AC185660.3_FGT003	4	-	164955531	164955870	AC185660.3_FG003
AC186009.3_FGT001	1	-	29698446	29699404	AC186009.3_FG001
AC186013.3_FGT001	7	+	59346338	59347058	AC186013.3_FG001
AC186145.3_FGT002	4	-	59703414	59704173	AC186145.3_FG002
AC186147.3_FGT008	4	-	162939231	162940566	AC186147.3_FG008
AC186156.3_FGT004	4	+	172851416	172852028	AC186156.3_FG004
AC186156.3_FGT005	4	+	172823745	172824357	AC186156.3_FG005
AC186164.3_FGT001	4	+	227260402	227260906	AC186164.3_FG001
AC186166.3_FGT008	5	+	1818437	1820108	AC186166.3_FG008
AC186189.3_FGT004	1	+	283455352	283458076	AC186189.3_FG004
AC186189.3_FGT005	1	+	283458335	283459025	AC186189.3_FG005
AC186195.4_FGT001	2	-	13095219	13097165	AC186195.4_FG001
AC186231.4_FGT002	1	+	202661440	202662280	AC186231.4_FG002
AC186233.3_FGT007	1	+	10191818	10194486	AC186233.3_FG007
AC186283.4_FGT002	1	-	108665035	108665545	AC186283.4_FG002
AC186284.3_FGT007	1	+	150696135	150698076	AC186284.3_FG007
AC186287.7_FGT005	4	-	174024717	174026190	AC186287.7_FG005
AC186309.3_FGT002	5	-	38347575	38348794	AC186309.3_FG002
AC186309.3_FGT006	5	+	38410408	38411104	AC186309.3_FG006
AC186310.4_FGT004	4	-	231151926	231154061	AC186310.4_FG004
AC186322.4_FGT003	1	+	211505519	211506681	AC186322.4_FG003
AC186322.4_FGT005	1	-	211520277	211521243	AC186322.4_FG005
AC186329.3_FGT006	2	+	49947660	49948235	AC186329.3_FG006
AC186337.3_FGT003	2	-	25257315	25257792	AC186337.3_FG003
AC186375.3_FGT001	6	+	111939511	111940305	AC186375.3_FG001
AC186404.3_FGT002	8	-	68684693	68685543	AC186404.3_FG002
AC186406.4_FGT006	6	-	14950899	14953487	AC186406.4_FG006
AC186408.5_FGT005	4	-	184419768	184420548	AC186408.5_FG005
AC186412.4_FGT011	1	-	275091553	275092458	AC186412.4_FG011
AC186417.3_FGT004	1	-	13071384	13073262	AC186417.3_FG004
AC186417.3_FGT006	1	+	13086119	13086773	AC186417.3_FG006
AC186424.4_FGT009	1	-	279720782	279721205	AC186424.4_FG009
AC186431.5_FGT001	8	-	61468550	61515300	AC186431.5_FG001
AC186433.4_FGT001	6	+	86441148	86441760	AC186433.4_FG001
AC186493.4_FGT002	7	+	154297380	154299237	AC186493.4_FG002
AC186500.3_FGT001	5	-	122071587	122072277	AC186500.3_FG001
AC186506.3_FGT001	1	+	160142896	160143561	AC186506.3_FG001
AC186512.3_FGT007	4	+	163706516	163707559	AC186512.3_FG007
AC186519.4_FGT002	1	+	258733622	258734003	AC186519.4_FG002
AC186524.3_FGT005	1	-	180986273	180988780	AC186524.3_FG005
AC186524.3_FGT006	1	+	180989989	180990466	AC186524.3_FG006
AC186563.4_FGT004	4	+	176841202	176841484	AC186563.4_FG004
AC186577.3_FGT006	6	-	1996259	1996982	AC186577.3_FG006
AC186579.3_FGT007	8	-	158575181	158576181	AC186579.3_FG007
AC186581.3_FGT003	7	+	40987770	40988633	AC186581.3_FG003
AC186583.3_FGT004	6	+	62111699	62113379	AC186583.3_FG004
AC186585.4_FGT002	6	+	15264015	15265490	AC186585.4_FG002
AC186590.3_FGT005	6	+	93534642	93535361	AC186590.3_FG005
AC186590.3_FGT006	6	+	93542231	93542950	AC186590.3_FG006
AC186592.3_FGT002	6	+	75072664	75075280	AC186592.3_FG002
AC186592.3_FGT003	6	+	75082128	75082623	AC186592.3_FG003
AC186602.4_FGT003	1	+	99672340	99673380	AC186602.4_FG003
AC186603.6_FGT003	1	-	168712313	168713762	AC186603.6_FG003
AC186606.4_FGT003	1	-	182653545	182654452	AC186606.4_FG003
AC186611.4_FGT005	8	-	112232776	112234777	AC186611.4_FG005
AC186613.4_FGT003	2	-	36668243	36668858	AC186613.4_FG003
AC186619.3_FGT001	1	+	207378626	207379900	AC186619.3_FG001
AC186647.3_FGT001	6	+	110203937	110204393	AC186647.3_FG001
AC186653.4_FGT005	1	+	23341672	23342178	AC186653.4_FG005
AC186656.4_FGT004	1	+	288714863	288715190	AC186656.4_FG004
AC186656.4_FGT012	1	+	288829721	288831499	AC186656.4_FG012
AC186663.3_FGT006	3	+	140646245	140647016	AC186663.3_FG006
AC186667.3_FGT007	1	+	275768316	275769386	AC186667.3_FG007
AC186669.3_FGT002	3	+	203553884	203555864	AC186669.3_FG002
AC186684.4_FGT001	1	-	267858700	267862188	AC186684.4_FG001
AC186691.4_FGT006	1	+	189401153	189401342	AC186691.4_FG006
AC186743.4_FGT003	4	-	185893991	185894327	AC186743.4_FG003
AC186781.4_FGT006	7	+	139461441	139463998	AC186781.4_FG006
AC186782.4_FGT003	7	+	90774330	90803178	AC186782.4_FG003
AC186785.4_FGT002	7	-	110466868	110469235	AC186785.4_FG002
AC186789.4_FGT001	8	+	146279642	146279917	AC186789.4_FG001
AC186800.3_FGT005	7	+	138410349	138410880	AC186800.3_FG005
AC186807.4_FGT002	8	+	74221156	74221495	AC186807.4_FG002
AC186815.3_FGT003	8	+	144936274	144939876	AC186815.3_FG003
AC186828.3_FGT001	6	+	77425455	77425884	AC186828.3_FG001
AC186845.4_FGT009	7	-	163795675	163795993	AC186845.4_FG009
AC186897.4_FGT016	8	-	13178244	13178676	AC186897.4_FG016
AC186902.4_FGT006	1	-	279984125	279984954	AC186902.4_FG006
AC186902.4_FGT009	1	-	279925944	279926559	AC186902.4_FG009
AC186904.4_FGT007	2	-	15125655	15126237	AC186904.4_FG007
AC186905.3_FGT013	1	+	234759540	234759882	AC186905.3_FG013
AC187037.4_FGT008	8	-	147250946	147251553	AC187037.4_FG008
AC187046.3_FGT009	7	+	162135607	162137419	AC187046.3_FG009
AC187056.3_FGT002	6	-	71742167	71743765	AC187056.3_FG002
AC187065.3_FGT003	8	-	32338784	32339309	AC187065.3_FG003
AC187067.4_FGT001	7	-	175773542	175773998	AC187067.4_FG001
AC187072.4_FGT001	7	+	164641547	164642399	AC187072.4_FG001
AC187072.4_FGT002	7	+	164646575	164647571	AC187072.4_FG002
AC187080.3_FGT006	6	+	91301112	91304015	AC187080.3_FG006
AC187080.3_FGT007	6	+	91289629	91291654	AC187080.3_FG007
AC187082.3_FGT003	7	+	38948716	38951511	AC187082.3_FG003
AC187086.3_FGT004	8	-	136320651	136322829	AC187086.3_FG004
AC187088.3_FGT002	6	-	9260620	9261410	AC187088.3_FG002
AC187090.3_FGT003	8	-	9480307	9480716	AC187090.3_FG003
AC187090.3_FGT011	8	-	9379651	9380955	AC187090.3_FG011
AC187092.6_FGT003	8	+	70080490	70080904	AC187092.6_FG003
AC187096.5_FGT001	8	-	20927774	20932982	AC187096.5_FG001
AC187098.4_FGT011	7	-	174881879	174883538	AC187098.4_FG011
AC187099.5_FGT005	8	+	120103343	120105769	AC187099.5_FG005
AC187142.3_FGT007	6	-	123954182	123954458	AC187142.3_FG007
AC187157.4_FGT001	8	-	22690443	22691545	AC187157.4_FG001
AC187157.4_FGT002	8	+	22683480	22687343	AC187157.4_FG002
AC187157.4_FGT005	8	-	22645968	22650386	AC187157.4_FG005
AC187160.3_FGT003	7	+	130811314	130812753	AC187160.3_FG003
AC187207.3_FGT006	1	-	13367121	13368795	AC187207.3_FG006
AC187209.5_FGT003	2	-	4661536	4663152	AC187209.5_FG003
AC187209.5_FGT010	2	+	4708358	4709027	AC187209.5_FG010
AC187212.3_FGT011	2	-	9560322	9563046	AC187212.3_FG011
AC187222.4_FGT001	3	+	139310833	139312518	AC187222.4_FG001
AC187235.3_FGT003	8	+	81260998	81261742	AC187235.3_FG003
AC187243.3_FGT005	8	+	123144000	123144552	AC187243.3_FG005
AC187262.4_FGT007	1	-	184732929	184733551	AC187262.4_FG007
AC187263.4_FGT001	8	-	24771492	24772044	AC187263.4_FG001
AC187279.3_FGT003	6	+	48769537	48769864	AC187279.3_FG003
AC187279.3_FGT004	6	-	48733756	48734227	AC187279.3_FG004
AC187283.3_FGT005	6	+	85771923	85772172	AC187283.3_FG005
AC187393.3_FGT001	8	+	13667370	13668398	AC187393.3_FG001
AC187404.3_FGT003	10	+	60779903	60782241	AC187404.3_FG003
AC187404.3_FGT006	10	+	60757204	60757919	AC187404.3_FG006
AC187460.4_FGT002	7	+	86304275	86304647	AC187460.4_FG002
AC187469.3_FGT005	9	+	140761756	140762491	AC187469.3_FG005
AC187485.3_FGT001	8	-	67253699	67255119	AC187485.3_FG001
AC187551.3_FGT002	8	-	93949092	93951006	AC187551.3_FG002
AC187560.5_FGT003	7	-	5531910	5532240	AC187560.5_FG003
AC187567.4_FGT004	6	-	131649643	131650090	AC187567.4_FG004
AC187782.4_FGT009	8	+	140022444	140022813	AC187782.4_FG009
AC187789.3_FGT001	9	+	30459749	30460007	AC187789.3_FG001
AC187800.4_FGT003	1	-	65648323	65648611	AC187800.4_FG003
AC187802.3_FGT008	6	+	157971732	157973011	AC187802.3_FG008
AC187809.3_FGT005	9	+	44118733	44120488	AC187809.3_FG005
AC187813.3_FGT002	5	-	186874460	186874862	AC187813.3_FG002
AC187818.3_FGT004	8	-	1355030	1355447	AC187818.3_FG004
AC187826.3_FGT007	8	+	125052076	125053455	AC187826.3_FG007
AC187843.3_FGT001	10	-	7372884	7374956	AC187843.3_FG001
AC187843.3_FGT006	10	+	7444586	7445057	AC187843.3_FG006
AC187843.3_FGT010	10	-	7351909	7353040	AC187843.3_FG010
AC187870.3_FGT002	8	-	44995750	44997413	AC187870.3_FG002
AC187872.3_FGT005	7	-	161256127	161256502	AC187872.3_FG005
AC187879.3_FGT001	4	-	96082175	96082901	AC187879.3_FG001
AC187885.3_FGT002	6	+	120128001	120128473	AC187885.3_FG002
AC187887.3_FGT008	6	-	132416642	132417223	AC187887.3_FG008
AC187891.3_FGT006	10	-	6406677	6407469	AC187891.3_FG006
AC187895.2_FGT001	7	+	102491954	102492698	AC187895.2_FG001
AC187895.2_FGT002	7	+	102495670	102496252	AC187895.2_FG002
AC187896.3_FGT006	6	+	158818236	158818521	AC187896.3_FG006
AC187899.3_FGT002	10	+	79691285	79691892	AC187899.3_FG002
AC187901.4_FGT004	9	-	28993001	28993499	AC187901.4_FG004
AC187903.3_FGT004	10	+	132160234	132160552	AC187903.3_FG004
AC187910.5_FGT002	8	+	149331137	149333314	AC187910.5_FG002
AC188000.3_FGT003	10	-	91792106	91792934	AC188000.3_FG003
AC188001.3_FGT009	8	-	169460491	169463253	AC188001.3_FG009
AC188003.3_FGT012	4	+	1081799	1082257	AC188003.3_FG012
AC188023.3_FGT005	6	+	165516913	165518066	AC188023.3_FG005
AC188023.3_FGT011	6	+	165558209	165559415	AC188023.3_FG011
AC188036.3_FGT003	10	+	82165256	82166174	AC188036.3_FG003
AC188128.3_FGT002	10	-	143616009	143616707	AC188128.3_FG002
AC188134.2_FGT011	5	+	211750316	211752373	AC188134.2_FG011
AC188195.2_FGT003	10	+	96529313	96529577	AC188195.2_FG003
AC188195.2_FGT004	10	+	96545515	96545779	AC188195.2_FG004
AC188195.2_FGT005	10	-	96534437	96534701	AC188195.2_FG005
AC188296.3_FGT004	6	+	125272647	125273097	AC188296.3_FG004
AC188582.3_FGT002	9	-	82965479	82966085	AC188582.3_FG002
AC188583.4_FGT003	9	-	10533793	10534374	AC188583.4_FG003
AC188612.3_FGT009	10	-	4722205	4723096	AC188612.3_FG009
AC188710.4_FGT006	6	+	129321358	129327432	AC188710.4_FG006
AC188718.3_FGT005	7	+	125617705	125619728	AC188718.3_FG005
AC188718.3_FGT011	7	+	125659536	125660635	AC188718.3_FG011
AC188718.3_FGT015	7	-	125570036	125572244	AC188718.3_FG015
AC188721.3_FGT001	7	+	142682250	142683597	AC188721.3_FG001
AC188722.3_FGT002	10	-	34738560	34738854	AC188722.3_FG002
AC188723.3_FGT001	8	+	86927012	86927936	AC188723.3_FG001
AC188724.3_FGT006	8	-	73645074	73645962	AC188724.3_FG006
AC188727.3_FGT003	9	+	6371876	6374644	AC188727.3_FG003
AC188735.3_FGT001	10	+	88523481	88524183	AC188735.3_FG001
AC188744.3_FGT009	9	+	60867694	60868402	AC188744.3_FG009
AC188745.3_FGT001	10	+	97161377	97162402	AC188745.3_FG001
AC188752.3_FGT008	4	-	219303958	219305896	AC188752.3_FG008
AC188753.3_FGT004	3	+	159586784	159588582	AC188753.3_FG004
AC188755.3_FGT001	6	-	64475394	64476117	AC188755.3_FG001
AC188756.2_FGT004	9	+	39416653	39418206	AC188756.2_FG004
AC188757.4_FGT004	9	-	121857507	121858308	AC188757.4_FG004
AC188831.3_FGT005	2	-	9499398	9499857	AC188831.3_FG005
AC188838.3_FGT005	6	+	150852508	150854140	AC188838.3_FG005
AC188964.3_FGT002	4	-	92593500	92595619	AC188964.3_FG002
AC188978.3_FGT008	6	+	168365252	168366208	AC188978.3_FG008
AC189048.2_FGT001	6	+	23959268	23960773	AC189048.2_FG001
AC189052.3_FGT003	1	-	177865164	177868243	AC189052.3_FG003
AC189056.3_FGT001	10	+	46715450	46715939	AC189056.3_FG001
AC189060.4_FGT007	3	+	227188852	227190969	AC189060.4_FG007
