RefSeq	Chr	Strand	Start	End	Symbol
GRMZM5G852144_T01	Mt	+	51506	53059	GRMZM5G852144
GRMZM5G853305_T01	Pt	-	79518	79881	GRMZM5G853305
GRMZM5G853409_T01	Mt	+	17206	19115	GRMZM5G853409
GRMZM5G853723_T01	Pt	-	116455	117637	GRMZM5G853723
GRMZM5G854065_T01	Mt	-	58743	59348	GRMZM5G854065
GRMZM5G855343_T01	Pt	+	140067	140361	GRMZM5G855343
GRMZM5G856027_T02	Mt	-	237576	243574	GRMZM5G856027
GRMZM5G856189_T01	Mt	+	486573	486894	GRMZM5G856189
GRMZM5G856777_T01	Pt	+	6391	12986	GRMZM5G856777
GRMZM5G856972_T01	Mt	+	65334	65682	GRMZM5G856972
GRMZM5G857320_T01	Mt	+	308154	308514	GRMZM5G857320
GRMZM5G858045_T01	Mt	+	99692	100007	GRMZM5G858045
GRMZM5G858556_T01	Pt	-	77251	77985	GRMZM5G858556
GRMZM5G859187_T01	Mt	+	525510	526320	GRMZM5G859187
GRMZM5G859440_T01	Mt	-	280399	282986	GRMZM5G859440
GRMZM5G860062_T01	Mt	-	37305	38381	GRMZM5G860062
GRMZM5G861212_T01	Mt	-	376213	376603	GRMZM5G861212
GRMZM5G861353_T01	Mt	+	347109	347523	GRMZM5G861353
GRMZM5G861791_T01	Mt	-	160500	164661	GRMZM5G861791
GRMZM5G862955_T01	Mt	+	542430	545055	GRMZM5G862955
GRMZM5G863003_T01	Mt	-	129508	132560	GRMZM5G863003
GRMZM5G864407_T01	Pt	-	112992	113523	GRMZM5G864407
GRMZM5G865196_T01	Mt	+	468543	468861	GRMZM5G865196
GRMZM5G866064_T01	Pt	+	139823	140048	GRMZM5G866064
GRMZM5G866223_T01	Pt	-	113706	114249	GRMZM5G866223
GRMZM5G866761_T01	Pt	-	134922	135222	GRMZM5G866761
GRMZM5G866979_T01	Mt	-	157639	158260	GRMZM5G866979
GRMZM5G866990_T01	Mt	-	236901	237477	GRMZM5G866990
GRMZM5G867512_T01	Mt	-	273330	275849	GRMZM5G867512
GRMZM5G870438_T01	Mt	+	277987	278428	GRMZM5G870438
GRMZM5G871099_T01	Mt	+	165954	166302	GRMZM5G871099
GRMZM5G871174_T01	Mt	+	105916	106267	GRMZM5G871174
GRMZM5G872234_T01	Mt	-	564154	564517	GRMZM5G872234
GRMZM5G872747_T01	Pt	+	87874	88396	GRMZM5G872747
GRMZM5G872899_T01	Mt	-	222180	222597	GRMZM5G872899
GRMZM5G873916_T01	Mt	-	222800	223196	GRMZM5G873916
GRMZM5G874394_T01	Mt	+	369059	369413	GRMZM5G874394
GRMZM5G874448_T01	Pt	-	114342	116454	GRMZM5G874448
GRMZM5G874740_T01	Mt	-	361926	362250	GRMZM5G874740
GRMZM5G875046_T01	Mt	-	288626	289007	GRMZM5G875046
GRMZM5G875287_T01	Pt	+	32819	34639	GRMZM5G875287
GRMZM5G875789_T01	Mt	-	155607	155940	GRMZM5G875789
GRMZM5G876106_T01	Pt	-	89235	91472	GRMZM5G876106
GRMZM5G876913_T01	Mt	-	262805	263162	GRMZM5G876913
GRMZM5G877040_T01	Mt	-	63561	64041	GRMZM5G877040
GRMZM5G877173_T01	Pt	+	87514	87814	GRMZM5G877173
GRMZM5G877454_T01	Pt	+	21467	24695	GRMZM5G877454
GRMZM5G878344_T01	Mt	-	372869	373193	GRMZM5G878344
GRMZM5G879235_T01	Pt	-	75622	77189	GRMZM5G879235
GRMZM5G881135_T01	Mt	-	262383	262761	GRMZM5G881135
GRMZM5G881661_T01	Mt	+	295309	295627	GRMZM5G881661
GRMZM5G882520_T01	Mt	-	224212	225121	GRMZM5G882520
GRMZM5G883882_T01	Mt	+	293480	293798	GRMZM5G883882
GRMZM5G884538_T01	Mt	-	441569	442510	GRMZM5G884538
GRMZM5G884707_T01	Mt	+	310905	312072	GRMZM5G884707
GRMZM5G884912_T01	Mt	-	138552	139212	GRMZM5G884912
GRMZM5G884960_T01	Pt	+	75427	75952	GRMZM5G884960
GRMZM5G885905_T01	Pt	-	134340	134862	GRMZM5G885905
GRMZM5G887290_T01	Mt	+	319612	319963	GRMZM5G887290
GRMZM5G887911_T01	Mt	-	509972	510266	GRMZM5G887911
GRMZM5G889036_T01	Mt	-	261339	261951	GRMZM5G889036
GRMZM5G889299_T01	Mt	-	60823	63559	GRMZM5G889299
GRMZM5G889790_T01	Mt	-	271153	271498	GRMZM5G889790
GRMZM5G889905_T01	Mt	+	344812	345433	GRMZM5G889905
GRMZM5G890451_T01	Mt	+	433537	433984	GRMZM5G890451
GRMZM5G890747_T01	Mt	-	142489	142849	GRMZM5G890747
GRMZM5G891801_T01	Mt	+	487870	488230	GRMZM5G891801
GRMZM5G892247_T01	Pt	+	26982	31566	GRMZM5G892247
GRMZM5G892769_T01	Mt	+	21089	22698	GRMZM5G892769
GRMZM5G892983_T01	Mt	-	24645	25498	GRMZM5G892983
GRMZM5G893089_T01	Mt	+	550607	550973	GRMZM5G893089
GRMZM5G894376_T01	Mt	-	42602	43923	GRMZM5G894376
GRMZM5G894515_T01	Pt	-	105071	107369	GRMZM5G894515
GRMZM5G897615_T01	Mt	-	120928	121513	GRMZM5G897615
GRMZM5G897626_T01	Mt	+	73894	74197	GRMZM5G897626
GRMZM5G897755_T01	Mt	+	565002	565665	GRMZM5G897755
GRMZM5G898442_T01	Pt	-	88700	88910	GRMZM5G898442
GRMZM5G898466_T01	Pt	+	133826	134036	GRMZM5G898466
GRMZM5G898647_T01	Mt	+	200740	201463	GRMZM5G898647
GRMZM5G898772_T01	Mt	-	114491	114968	GRMZM5G898772
GRMZM5G899366_T01	Pt	+	24732	26784	GRMZM5G899366
GRMZM5G899452_T01	Mt	-	504157	504475	GRMZM5G899452
GRMZM5G899836_T01	Pt	+	83035	83803	GRMZM5G899836
GRMZM5G899892_T01	Mt	+	348198	348528	GRMZM5G899892
Zm00001d001763_T001	2	-	40177	41023	Zm00001d001763
Zm00001d001765_T001	2	-	99800	117243	Zm00001d001765
Zm00001d001766_T001	2	-	177012	177948	Zm00001d001766
Zm00001d001767_T001	2	+	259077	260187	Zm00001d001767
Zm00001d001769_T001	2	-	358455	360837	Zm00001d001769
Zm00001d001770_T002	2	-	432593	437077	Zm00001d001770
Zm00001d001771_T001	2	+	473338	474814	Zm00001d001771
Zm00001d001772_T001	2	-	475370	476004	Zm00001d001772
Zm00001d001773_T001	2	+	477841	481305	Zm00001d001773
Zm00001d001774_T001	2	-	481354	482248	Zm00001d001774
Zm00001d001775_T001	2	-	546550	547601	Zm00001d001775
Zm00001d001776_T001	2	-	591781	592024	Zm00001d001776
Zm00001d001777_T001	2	-	644078	645797	Zm00001d001777
Zm00001d001779_T001	2	-	707482	708601	Zm00001d001779
Zm00001d001780_T002	2	-	709268	717277	Zm00001d001780
Zm00001d001781_T001	2	-	740854	742900	Zm00001d001781
Zm00001d001784_T001	2	+	830359	832876	Zm00001d001784
Zm00001d001785_T001	2	-	833687	836726	Zm00001d001785
Zm00001d001786_T004	2	-	891740	896781	Zm00001d001786
Zm00001d001787_T002	2	+	923035	933728	Zm00001d001787
Zm00001d001788_T001	2	+	935638	948433	Zm00001d001788
Zm00001d001789_T002	2	-	954828	957763	Zm00001d001789
Zm00001d001790_T004	2	+	1019523	1023493	Zm00001d001790
Zm00001d001791_T001	2	+	1023932	1025879	Zm00001d001791
Zm00001d001792_T001	2	-	1026063	1029335	Zm00001d001792
Zm00001d001793_T001	2	-	1045116	1045344	Zm00001d001793
Zm00001d001796_T002	2	+	1048982	1050344	Zm00001d001796
Zm00001d001797_T001	2	+	1064874	1074378	Zm00001d001797
Zm00001d001798_T001	2	+	1081626	1084219	Zm00001d001798
Zm00001d001799_T001	2	-	1084434	1086981	Zm00001d001799
Zm00001d001800_T001	2	-	1166300	1168004	Zm00001d001800
Zm00001d001802_T001	2	-	1193992	1196785	Zm00001d001802
Zm00001d001803_T002	2	+	1245473	1250143	Zm00001d001803
Zm00001d001804_T003	2	-	1251627	1257162	Zm00001d001804
Zm00001d001806_T002	2	-	1258168	1262749	Zm00001d001806
Zm00001d001807_T001	2	+	1263984	1266617	Zm00001d001807
Zm00001d001808_T002	2	-	1268178	1271746	Zm00001d001808
Zm00001d001809_T007	2	-	1294931	1314979	Zm00001d001809
Zm00001d001811_T002	2	+	1331498	1334759	Zm00001d001811
Zm00001d001812_T001	2	+	1341010	1342402	Zm00001d001812
Zm00001d001813_T001	2	+	1413568	1415916	Zm00001d001813
Zm00001d001814_T001	2	-	1415885	1419759	Zm00001d001814
Zm00001d001817_T001	2	-	1425700	1428025	Zm00001d001817
Zm00001d001818_T001	2	-	1432076	1434514	Zm00001d001818
Zm00001d001819_T002	2	-	1434756	1438488	Zm00001d001819
Zm00001d001820_T001	2	-	1439870	1441447	Zm00001d001820
Zm00001d001823_T002	2	-	1524132	1526867	Zm00001d001823
Zm00001d001824_T001	2	+	1527402	1528307	Zm00001d001824
Zm00001d001825_T001	2	-	1530584	1535057	Zm00001d001825
Zm00001d001826_T001	2	-	1537720	1538885	Zm00001d001826
Zm00001d001827_T003	2	+	1539659	1545379	Zm00001d001827
Zm00001d001828_T003	2	+	1548359	1557145	Zm00001d001828
Zm00001d001829_T001	2	-	1558295	1558697	Zm00001d001829
Zm00001d001830_T001	2	-	1559609	1563496	Zm00001d001830
Zm00001d001831_T001	2	+	1617065	1621351	Zm00001d001831
Zm00001d001832_T001	2	+	1623039	1623795	Zm00001d001832
Zm00001d001833_T001	2	-	1626121	1632308	Zm00001d001833
Zm00001d001834_T020	2	+	1632056	1640150	Zm00001d001834
Zm00001d001835_T001	2	+	1646487	1647882	Zm00001d001835
Zm00001d001836_T001	2	+	1661084	1666620	Zm00001d001836
Zm00001d001837_T001	2	+	1669401	1673203	Zm00001d001837
Zm00001d001838_T001	2	+	1675458	1681671	Zm00001d001838
Zm00001d001839_T001	2	-	1684340	1685108	Zm00001d001839
Zm00001d001840_T001	2	-	1702955	1703309	Zm00001d001840
Zm00001d001841_T001	2	+	1703672	1708071	Zm00001d001841
Zm00001d001842_T001	2	+	1708850	1710647	Zm00001d001842
Zm00001d001843_T001	2	-	1710916	1712421	Zm00001d001843
Zm00001d001844_T001	2	+	1713364	1718096	Zm00001d001844
Zm00001d001845_T001	2	+	1718903	1720502	Zm00001d001845
Zm00001d001846_T001	2	+	1767079	1772657	Zm00001d001846
Zm00001d001847_T001	2	+	1804762	1811060	Zm00001d001847
Zm00001d001848_T003	2	-	1811146	1839006	Zm00001d001848
Zm00001d001849_T001	2	+	1910246	1912431	Zm00001d001849
Zm00001d001850_T001	2	-	1914397	1919938	Zm00001d001850
Zm00001d001851_T001	2	+	1932096	1933074	Zm00001d001851
Zm00001d001852_T001	2	+	1946283	1947096	Zm00001d001852
Zm00001d001855_T001	2	-	1962796	1966211	Zm00001d001855
Zm00001d001856_T005	2	-	1967668	1971284	Zm00001d001856
Zm00001d001857_T001	2	-	2015252	2016537	Zm00001d001857
Zm00001d001858_T001	2	+	2031381	2034507	Zm00001d001858
Zm00001d001859_T001	2	+	2037380	2043847	Zm00001d001859
Zm00001d001860_T001	2	-	2044958	2048593	Zm00001d001860
Zm00001d001861_T003	2	+	2048653	2054225	Zm00001d001861
Zm00001d001862_T001	2	+	2057091	2057988	Zm00001d001862
Zm00001d001864_T003	2	+	2066589	2076640	Zm00001d001864
Zm00001d001865_T001	2	-	2078886	2079669	Zm00001d001865
Zm00001d001866_T001	2	+	2101180	2107162	Zm00001d001866
Zm00001d001868_T001	2	-	2108589	2111200	Zm00001d001868
Zm00001d001869_T001	2	+	2113705	2114950	Zm00001d001869
Zm00001d001870_T001	2	-	2118160	2120623	Zm00001d001870
Zm00001d001871_T001	2	+	2125928	2128596	Zm00001d001871
Zm00001d001872_T001	2	-	2207441	2208026	Zm00001d001872
Zm00001d001873_T001	2	-	2212422	2213326	Zm00001d001873
Zm00001d001875_T001	2	+	2215925	2218102	Zm00001d001875
Zm00001d001876_T001	2	-	2218286	2218879	Zm00001d001876
Zm00001d001877_T001	2	+	2221344	2224783	Zm00001d001877
Zm00001d001879_T014	2	+	2248023	2256074	Zm00001d001879
Zm00001d001880_T001	2	+	2260662	2262908	Zm00001d001880
Zm00001d001881_T002	2	+	2309632	2313191	Zm00001d001881
Zm00001d001882_T004	2	-	2322242	2329784	Zm00001d001882
Zm00001d001883_T001	2	+	2344924	2348541	Zm00001d001883
Zm00001d001884_T001	2	+	2349515	2354941	Zm00001d001884
Zm00001d001885_T001	2	+	2465135	2466474	Zm00001d001885
Zm00001d001887_T001	2	+	2472647	2482331	Zm00001d001887
Zm00001d001894_T001	2	+	2491276	2493876	Zm00001d001894
Zm00001d001895_T002	2	-	2500956	2506732	Zm00001d001895
Zm00001d001896_T003	2	-	2509566	2511414	Zm00001d001896
Zm00001d001897_T001	2	+	2547150	2550966	Zm00001d001897
Zm00001d001898_T003	2	-	2553343	2559999	Zm00001d001898
Zm00001d001899_T001	2	+	2559816	2561845	Zm00001d001899
Zm00001d001900_T002	2	+	2562959	2566600	Zm00001d001900
Zm00001d001901_T001	2	-	2608018	2612382	Zm00001d001901
Zm00001d001902_T001	2	+	2633359	2636659	Zm00001d001902
Zm00001d001903_T001	2	+	2637030	2639743	Zm00001d001903
Zm00001d001904_T001	2	-	2641204	2642025	Zm00001d001904
Zm00001d001905_T001	2	-	2643025	2643694	Zm00001d001905
Zm00001d001906_T004	2	-	2644302	2648830	Zm00001d001906
Zm00001d001907_T001	2	+	2687733	2688264	Zm00001d001907
Zm00001d001908_T001	2	+	2689184	2697141	Zm00001d001908
Zm00001d001909_T002	2	+	2779224	2782637	Zm00001d001909
Zm00001d001910_T002	2	-	2781816	2787493	Zm00001d001910
Zm00001d001911_T001	2	-	2790303	2791259	Zm00001d001911
Zm00001d001912_T002	2	+	2794515	2796346	Zm00001d001912
Zm00001d001913_T001	2	+	2799860	2803017	Zm00001d001913
Zm00001d001914_T003	2	-	2803875	2808599	Zm00001d001914
Zm00001d001915_T002	2	-	2812722	2813940	Zm00001d001915
Zm00001d001916_T001	2	-	2815962	2819126	Zm00001d001916
Zm00001d001917_T003	2	+	2907762	2919247	Zm00001d001917
Zm00001d001918_T001	2	-	2919824	2923030	Zm00001d001918
Zm00001d001920_T001	2	-	2928096	2930430	Zm00001d001920
Zm00001d001921_T001	2	-	2954107	2956443	Zm00001d001921
Zm00001d001922_T001	2	-	2976584	2977269	Zm00001d001922
Zm00001d001923_T004	2	+	2987345	3010671	Zm00001d001923
Zm00001d001924_T001	2	+	3022803	3026409	Zm00001d001924
Zm00001d001926_T001	2	+	3045357	3046447	Zm00001d001926
Zm00001d001927_T001	2	-	3061214	3062758	Zm00001d001927
Zm00001d001928_T004	2	+	3067704	3079031	Zm00001d001928
Zm00001d001929_T003	2	+	3081075	3089142	Zm00001d001929
Zm00001d001930_T001	2	-	3081063	3081408	Zm00001d001930
Zm00001d001931_T001	2	+	3092326	3092746	Zm00001d001931
Zm00001d001932_T001	2	-	3093087	3096658	Zm00001d001932
Zm00001d001933_T001	2	-	3097286	3101632	Zm00001d001933
Zm00001d001934_T001	2	-	3102592	3103210	Zm00001d001934
Zm00001d001935_T001	2	+	3107290	3112383	Zm00001d001935
Zm00001d001936_T001	2	+	3114133	3117099	Zm00001d001936
Zm00001d001937_T003	2	-	3119829	3123912	Zm00001d001937
Zm00001d001939_T001	2	+	3192066	3195814	Zm00001d001939
Zm00001d001940_T001	2	-	3197993	3200378	Zm00001d001940
Zm00001d001941_T001	2	+	3201230	3204850	Zm00001d001941
Zm00001d001942_T001	2	-	3206273	3206537	Zm00001d001942
Zm00001d001943_T001	2	+	3240578	3242932	Zm00001d001943
Zm00001d001944_T001	2	+	3244740	3247431	Zm00001d001944
Zm00001d001945_T002	2	+	3367271	3374233	Zm00001d001945
Zm00001d001946_T001	2	+	3397866	3402119	Zm00001d001946
Zm00001d001947_T001	2	+	3404970	3408793	Zm00001d001947
Zm00001d001948_T001	2	+	3416795	3418004	Zm00001d001948
Zm00001d001949_T001	2	-	3418931	3422178	Zm00001d001949
Zm00001d001951_T001	2	+	3423830	3424283	Zm00001d001951
Zm00001d001952_T001	2	+	3425807	3432915	Zm00001d001952
Zm00001d001953_T001	2	-	3438957	3444350	Zm00001d001953
Zm00001d001957_T001	2	-	3466021	3468553	Zm00001d001957
Zm00001d001959_T001	2	+	3543769	3549930	Zm00001d001959
Zm00001d001960_T001	2	+	3559182	3560951	Zm00001d001960
Zm00001d001961_T001	2	+	3566923	3567634	Zm00001d001961
Zm00001d001962_T004	2	+	3572226	3587792	Zm00001d001962
Zm00001d001963_T001	2	+	3589961	3590393	Zm00001d001963
Zm00001d001964_T001	2	+	3600254	3600683	Zm00001d001964
Zm00001d001965_T001	2	+	3602716	3602884	Zm00001d001965
Zm00001d001966_T001	2	-	3608158	3611883	Zm00001d001966
Zm00001d001967_T003	2	+	3611988	3617038	Zm00001d001967
Zm00001d001968_T001	2	+	3659022	3665954	Zm00001d001968
Zm00001d001970_T001	2	-	3707672	3710056	Zm00001d001970
Zm00001d001971_T002	2	+	3712993	3715116	Zm00001d001971
Zm00001d001972_T001	2	-	3717522	3719516	Zm00001d001972
Zm00001d001973_T001	2	-	3728193	3732158	Zm00001d001973
Zm00001d001974_T001	2	+	3757694	3762861	Zm00001d001974
Zm00001d001975_T001	2	-	3764580	3766131	Zm00001d001975
Zm00001d001976_T001	2	+	3771593	3773923	Zm00001d001976
Zm00001d001977_T001	2	+	3794698	3796326	Zm00001d001977
Zm00001d001978_T014	2	+	3798162	3823892	Zm00001d001978
Zm00001d001979_T002	2	-	3824253	3826568	Zm00001d001979
Zm00001d001980_T001	2	+	3876006	3880702	Zm00001d001980
Zm00001d001982_T001	2	+	3891753	3892380	Zm00001d001982
Zm00001d001983_T002	2	-	3939648	3950608	Zm00001d001983
Zm00001d001984_T001	2	-	3952211	3954752	Zm00001d001984
Zm00001d001986_T001	2	-	3957233	3958169	Zm00001d001986
Zm00001d001987_T002	2	-	3958779	3962322	Zm00001d001987
Zm00001d001988_T001	2	+	4000535	4005122	Zm00001d001988
Zm00001d001989_T002	2	-	4005778	4006470	Zm00001d001989
Zm00001d001990_T001	2	+	4060450	4060702	Zm00001d001990
Zm00001d001993_T002	2	-	4069760	4072922	Zm00001d001993
Zm00001d001994_T001	2	+	4073692	4075345	Zm00001d001994
Zm00001d001995_T002	2	+	4120297	4126906	Zm00001d001995
Zm00001d001996_T001	2	+	4127516	4130914	Zm00001d001996
Zm00001d001997_T001	2	-	4132332	4133568	Zm00001d001997
Zm00001d001999_T001	2	-	4137848	4142552	Zm00001d001999
Zm00001d002000_T003	2	+	4150292	4154404	Zm00001d002000
Zm00001d002001_T001	2	-	4156559	4157278	Zm00001d002001
Zm00001d002003_T002	2	+	4166903	4173548	Zm00001d002003
Zm00001d002004_T001	2	+	4177226	4180187	Zm00001d002004
Zm00001d002005_T001	2	-	4230853	4234535	Zm00001d002005
Zm00001d002006_T002	2	-	4277522	4284581	Zm00001d002006
Zm00001d002007_T002	2	+	4299770	4305794	Zm00001d002007
Zm00001d002008_T001	2	-	4300205	4300844	Zm00001d002008
Zm00001d002011_T001	2	+	4324614	4325127	Zm00001d002011
Zm00001d002012_T002	2	-	4325835	4336209	Zm00001d002012
Zm00001d002013_T001	2	-	4339536	4341007	Zm00001d002013
Zm00001d002014_T001	2	+	4382582	4383017	Zm00001d002014
Zm00001d002015_T001	2	+	4385915	4386347	Zm00001d002015
Zm00001d002016_T001	2	+	4391587	4392022	Zm00001d002016
Zm00001d002017_T001	2	+	4394920	4395352	Zm00001d002017
Zm00001d002018_T001	2	+	4400591	4405639	Zm00001d002018
Zm00001d002019_T001	2	-	4431376	4433393	Zm00001d002019
Zm00001d002020_T001	2	-	4479322	4481492	Zm00001d002020
Zm00001d002021_T001	2	+	4539075	4539570	Zm00001d002021
Zm00001d002022_T003	2	+	4547312	4552573	Zm00001d002022
Zm00001d002023_T001	2	-	4587795	4589602	Zm00001d002023
Zm00001d002024_T002	2	+	4593402	4606170	Zm00001d002024
Zm00001d002025_T001	2	+	4628844	4634985	Zm00001d002025
Zm00001d002026_T001	2	+	4638993	4644379	Zm00001d002026
Zm00001d002027_T001	2	+	4656651	4661418	Zm00001d002027
Zm00001d002028_T001	2	+	4663112	4666196	Zm00001d002028
Zm00001d002029_T003	2	-	4666313	4670063	Zm00001d002029
Zm00001d002031_T001	2	-	4673452	4674247	Zm00001d002031
Zm00001d002032_T003	2	+	4794171	4806276	Zm00001d002032
Zm00001d002033_T001	2	+	4807573	4809601	Zm00001d002033
Zm00001d002034_T002	2	-	4808157	4814502	Zm00001d002034
Zm00001d002035_T001	2	-	4821034	4823880	Zm00001d002035
Zm00001d002036_T001	2	+	4846236	4851797	Zm00001d002036
Zm00001d002037_T001	2	-	4852458	4853805	Zm00001d002037
Zm00001d002038_T003	2	+	4861463	4865975	Zm00001d002038
Zm00001d002039_T001	2	-	4866661	4870005	Zm00001d002039
Zm00001d002040_T001	2	-	4898709	4912448	Zm00001d002040
Zm00001d002042_T001	2	+	4919845	4921440	Zm00001d002042
Zm00001d002043_T001	2	+	4922292	4928470	Zm00001d002043
Zm00001d002044_T002	2	-	4929051	4931551	Zm00001d002044
Zm00001d002046_T004	2	+	4935891	4945247	Zm00001d002046
Zm00001d002047_T001	2	-	4945628	4945956	Zm00001d002047
Zm00001d002048_T001	2	+	4954093	4955881	Zm00001d002048
